Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19
"702. Sembuche, S.H., Ishengoma, D.S., Seth, M.D., Francis, F., Rutta, A.S., Kamugisha, M.L., Lemnge, M.M. (2009) Epidemiology of malaria in an area prepared for clinical trials in Korogwe, north-eastern Tanzania. Malaria Journal 8: 165.","Epidemiology of malaria in an area prepared for clinical trials in Korogwe, north-eastern Tanzania",Malaria,Malaria Journal ,2009,8,,165,,7,,,,,,,,,"BACKGROUND: Site preparation is a pre-requesite in conducting malaria vaccines trials. This study was conducted in 12 villages to determine malariometric indices and associated risk factors, during long and short rainy seasons, in an area with varying malaria transmission intensities in Korogwe district, Tanzania. Four villages had passive case detection (PCD) of fever system using village health workers.                                                                                                                                                                                                                                                         METHODS: Four malariometric cross-sectional surveys were conducted between November 2005 and May 2007 among individuals aged 0-19 years, living in lowland urban, lowland rural and highland strata. A total of 10,766 blood samples were collected for malaria parasite diagnosis and anaemia estimation. Blood smears were stained with Giemsa while haemoglobin level was measured by HaemoCue. Socio-economic data were collected between Jan-Apr 2006.                                                                                                                                          RESULTS: Adjusting for the effect of age, the risk of Plasmodium falciparum parasitaemia was significantly lower in both lowland urban, (OR = 0.26; 95%CI: 0.23-0.29, p < 0.001) and highlands, (OR = 0.21; 95%CI: 0.17-0.25, p < 0.001) compared to lowland rural. Individuals aged 6-9 years in the lowland rural and 4-19 years in both lowland urban and highlands had the highest parasite prevalence, whilst children below five years in all strata had the highest parasite density. Prevalence of splenomegaly and gametocyte were also lower in both lowland urban and highlands than in lowland rural. Anaemia (Hb <11 g/dl) prevalence was lowest in the lowland urban. Availability of PCD and higher socio-economic status (SES) were associated with reduced malaria and anaemia prevalence.                                                                                                                                                                                                                           CONCLUSION: Higher SES and use of bed nets in the lowland urban could be the important factors for low malaria infections in this stratum. Results obtained here were used together with those from PCD and DSS in selecting a village for Phase 1b MSP3 vaccine trial, which was conducted in the study area in year 2008."
"703. Simba, D.O., Warsame, M., Kimbute, O., Kakoko, D., Petzold, M., Tomson, G., Premji, Z., Gomes, M. (2009) Factors influencing adherence to referral advice following pre-referral treatment with artesunate suppositories in children in rural Tanzania. Tropical Medicine and International Health 14(7):775-83. doi: 10.1111/j.1365-3156.2009.02299.x. ", Factors influencing adherence to referral advice following pre-referral treatment with artesunate suppositories in children in rural Tanzania,artesunate suppositories,Tropical Medicine and International Health ,2009,14,7,775,783,8,10.1111/j.1365-3156.2009.02299.x,,,,,,,,"OBJECTIVE: WHO recommends artemisinin suppository formulations as pre-referral treatment for children who are unable to take oral medication and cannot rapidly reach a facility for parenteral treatment. We investigated factors influencing caretakers' adherence to referral advice following pre-referral treatment of their children with rectal artesunate suppositories. METHODS: The study was nested within an intervention study that involved pre-referral treatment of all children who came to a community dispenser for treatment because they were unable to take oral medications because of repeated vomiting, lethargy, convulsions or altered consciousness. All patients who did not comply with referral advice were stratified by actions taken post-referral: taking their children to a drug shop, a traditional healer, or not seeking further treatment, and added to a random selection of patients who complied with referral advice. Caretakers of the children were interviewed about their socio-economic status (SES), knowledge about malaria, referral advice given and actions they took following pre-referral treatment. Interview data for 587 caretakers were matched with symptoms of the children, the time of treatment, arrival at a health facility or other actions taken post-pre-referral treatment.                                                                                                                                                                                                                                                                                                        RESULTS: The majority (93.5%) of caretakers reported being given referral advice by the community drug dispenser. The odds of adherence with this advice were three times greater for children with altered consciousness and/or convulsions than for children with other symptoms [odds ratio (OR) 3.47, 95% confidence interval (CI) 2.32-5.17, P < 0.001]. When questioned, caretakers who remembered when (OR 2.19, 95% CI 1.48-3.23, P < 0.001) and why (OR 1.77, 95% CI 1.07-2.95, P = 0.026) they were advised to proceed to health facility - were more likely to follow referral advice. Cost did not influence adherence except within a catchment area of facilities that charged for services. In these areas, costs deterred adherence by four to five times for those who had previously paid for laboratory services (OR = 0.25, 95% CI: 0.09-0.67, P = 0.006) or consultation (OR 0.20, 95% CI: 0.06-0.61, P = 0.005) compared with those who had not.                                                                                                                                                                                                                                                                                                CONCLUSION: When given referral advice, caretakers of patients with life-threatening symptoms adhere to referral advice more readily than other caretakers. Health service charges deter adherence."
"704. Stanton, C., Armbruster,D., Knight, R., Ariawan, I., Gbangbade, S., Getachew, A., Portillo, J.A., Jarquin, D., Marin, F., Mfinanga, S., Vallecillo, J., Johnson, H., Sintasath, D. (2009) Use of active management of the third stage of labour in seven developing countries. Bulletin of the World Health Organization87:207–215; doi:10.2471/BLT.08.052597.",Use of active management of the third stage of labour in seven developing countries,,Bulletin of the World Health Organization,2009,87,,207,215,13,,,,,,,,,"OBJECTIVE To document the use of active management of the third stage of labour for preventing postpartum haemorrhage and to explore factors associated with such use in seven developing countries. METHODS Nationally representative samples of facility-based deliveries were selected and observed to determine the use of active management of the third stage of labour and associated factors. Policies on active management were assessed through document review and interviews with relevant professionals. FINDINGS Use of a uterotonic during the third or fourth stages of labour was nearly universal. Correct use of active management of the third stage of labour was found in only 0.5% to 32% of observed deliveries due to multiple deficiencies in practice. In every country except Indonesia, policies regarding active management were conflicting. CONCLUSION Developing countries have not targeted decreasing postpartum haemorrhage as an achievable goal; there is little use of active management of the third stage of labour, and policies regarding such management often conflict. Studies are needed to identify the most effective components of active management so that the most efficient package of practices can be promoted."
"705. Stewart, L., Gosling, R., Griffin, J., Gesase, S., Campo, J., Hashim, R., Masika, P., Mosha, J., Bousema, T., Shekalaghe, S., Cook, J., Corran, P., Ghani, A., Riley, E.M. & Drakeley, C. (2009) Rapid assessment of malaria transmission using age-specific sero-conversion rates. PLoS One 4(6): e6083.PMID: 19562032.", Rapid assessment of malaria transmission using age-specific sero-conversion rates,malaria,PLoS One,2009,4,6, e6083,,15,,,,,,,,,"Background: Malaria transmission intensity is a crucial determinant of malarial disease burden and its measurement can help to define health priorities. Rapid, local estimates of transmission are required to focus resources better but current entomological and parasitological methods for estimating transmission intensity are limited in this respect. An alternative is determination of antimalarial antibody age-specific sero-prevalence to estimate sero-conversion rates (SCR), which have been shown to correlate with transmission intensity. This study evaluated SCR generated from samples collected from health facility attendees as a tool for a rapid assessment of malaria transmission intensity.                       Methodology and Principal Findings: The study was conducted in north east Tanzania. Antibodies to Plasmodium falciparum merozoite antigens MSP-119 and AMA-1 were measured by indirect ELISA. Age-specific antibody prevalence was analysed using a catalytic conversion model based on maximum likelihood to generate SCR. A pilot study, conducted near Moshi, found SCRs for AMA-1 were highly comparable between samples collected from individuals in a conventional cross-sectional survey and those collected from attendees at a local health facility. For the main study, 3885 individuals attending village health facilities in Korogwe and Same districts were recruited. Both malaria parasite prevalence and sero-positivity were higher in Korogwe than in Same. MSP-119 and AMA-1 SCR rates for Korogwe villages ranged from 0.03 to 0.06 and 0.07 to 0.21 respectively. In Same district there was evidence of a recent reduction in transmission, with SCR among those born since 1998 [MSP-119 0.002 to 0.008 and AMA-1 0.005 to 0.014 ] being 5 to 10 fold lower than among individuals born prior to 1998 [MSP-119 0.02 to 0.04 and AMA-1 0.04 to 0.13]. Current health facility specific estimates of SCR showed good correlations with malaria incidence rates in infants in a contemporaneous clinical trial (MSP-119 r2?=?0.78, p<0.01 & AMA-1 r2?=?0.91, p<0.001).                                                                                                                                                                      Conclusions: SCRs generated from age-specific anti-malarial antibody prevalence data collected via health facility surveys were robust and credible. Analysis of SCR allowed detection of a recent drop in malaria transmission in line with recent data from other areas in the region. This health facility-based approach represents a potential tool for rapid assessment of recent trends in malaria transmission intensity, generating valuable data for local and national malaria control programs to target, monitor and evaluate their control strategies."
"706. Sykes, A., Hendriksen, I., Mtove, G., Mandea, V., Mrema, H., Rutta, B., Mapunda, E., Manjurano, A., Amos, B., Reyburn, H. & Whitty, C. J. (2009) Azithromycin plus artesunate versus artemether-lumefantrine for treatment of uncomplicated malaria in Tanzanian children: a randomized, controlled trial. Clinical Infectious Diseases 49, 1195-1201."," Azithromycin plus artesunate versus artemether-lumefantrine for treatment of uncomplicated malaria in Tanzanian children: a randomized, controlled trial",malaria,Clinical Infectious Diseases ,2009,49,,1195,1201,11,,,,,,,,,"BACKGROUND: Acute febrile illness is the most common cause of outpatient attendance and mortality for children in Africa. Malaria and bacterial disease are difficult to differentiate with limited diagnostic facilities. Combinations of antibiotics and antimalarials are potentially attractive for treatment of the syndrome. Azithromycin plus artesunate (AT+AS) is an effective antimalarial combination for adults in Asia.                                                                                                                                                                                                                                  METHODS: We performed an individually randomized, open-label trial of AZ+AS versus artemether-lumefantrine (AL) involving children (age, 6-59 months) with uncomplicated malaria in Muheza, Tanzania. The primary outcome was parasitological failure by day 28. Parasitological failure by day 42 and failure corrected for reinfection were major secondary outcomes.   RESULTS: Of 2497 children screened, 261 were eligible; 129 were randomized to the AZ+AS arm, and 132 were randomized to the AL arm; 92% and 91%, respectively, underwent follow-up to 28 days. Planned interim analysis was performed after 200 patients reached day 28 follow-up and led the Data and Safety Monitoring Board to halt further recruitment. All children had a complete initial response to treatment, but 69 (58%) of 119 children in the AZ+AS arm and 24 (20%) of 120 in the AL arm had asexual parasites at or by day 28 (adjusted odds ratio for failure with AZ+AS treatment, 6.1; 95% confidence interval, 3.3-11.4; P < .001). When analysis was restricted to children with recrudescence, the parasitological failure rate was 32% in the AZ+AS arm and 9% in the AL arm. This difference was maintained at day 42.                                                                                                                                                                                   CONCLUSIONS: This trial does not support the use of AZ+AS as treatment for malaria or acute febrile illness in children in areas of Africa with high levels of existing antimalarial drug resistance."
"707. Vallely, A., Shagi, C., Lees, S., Shapiro, K., Masanja, J., Nikolau, L., Kazimoto, J., Sorteli, S., Moffat, C., Changalucha, J., McCormack, S., Hayes, R.J. (2009) Microbicides development programme: engaging the community in the standard of care debate in a vaginal microbicide trial in Mwanza, Tanzania. BMC Medical Ethics 10:17. doi: 10.1186/1472-6939-10-17","Microbicides development programme: engaging the community in the standard of care debate in a vaginal microbicide trial in Mwanza, Tanzania",vaginal microbicide trial,BMC Medical Ethics,2009,10,,17,,12,10.1186/1472-6939-10-17,,,,,,,,"BACKGROUND: HIV prevention research in resource-limited countries is associated with a variety of ethical dilemmas. Key amongst these is the question of what constitutes an appropriate standard of health care (SoC) for participants in HIV prevention trials. This paper describes a community-focused approach to develop a locally-appropriate SoC in the context of a phase III vaginal microbicide trial in Mwanza City, northwest Tanzania.                                                                                                                                                                            METHODS: A mobile community-based sexual and reproductive health service for women working as informal food vendors or in traditional and modern bars, restaurants, hotels and guesthouses has been established in 10 city wards. Wards were divided into geographical clusters and community representatives elected at cluster and ward level. A city-level Community Advisory Committee (CAC) with representatives from each ward has been established. Workshops and community meetings at ward and city-level have explored project-related concerns using tools adapted from participatory learning and action techniques e.g. chapati diagrams, pair-wise ranking. Secondary stakeholders representing local public-sector and non-governmental health and social care providers have formed a trial Stakeholders' Advisory Group (SAG), which includes two CAC representatives.                                  RESULTS: Key recommendations from participatory community workshops, CAC and SAG meetings conducted in the first year of the trial relate to the quality and range of clinic services provided at study clinics as well as broader standard of care issues. Recommendations have included streamlining clinic services to reduce waiting times, expanding services to include the children and spouses of participants and providing care for common local conditions such as malaria. Participants, community representatives and stakeholders felt there was an ethical obligation to ensure effective access to antiretroviral drugs and to provide supportive community-based care for women identified as HIV positive during the trial. This obligation includes ensuring sustainable, post-trial access to these services. Post-trial access to an effective vaginal microbicide was also felt to be a moral imperative.                          CONCLUSION: Participatory methodologies enabled effective partnerships between researchers, participant representatives and community stakeholders to be developed and facilitated local dialogue and consensus on what constitutes a locally-appropriate standard of care in the context of a vaginal microbicide trial in this setting."
"708. Watson-Jnes, D., Baisley, K., Rusizoka, M., Mugeye, K., Weiss, H., Changalucha, J., Clayton, T., Hambleton, I., Ross, D.A., Hayes, R. (2009) Measurement and predictors of adherence in  a trial of HSV suppressive therapy in Tanzania. Contemporary Clinical Trials 30, 504-512.",Measurement and predictors of adherence in  a trial of HSV suppressive therapy in Tanzania,,Contemporary Clinical Trials,2009,30,,504,512,10,,,,,,,,,"This study estimates adherence and identifies predictors of good adherence among 1305 Tanzanian women participating in a randomised, double-blind, placebo-controlled trial of HSV suppressive therapy to reduce HIV incidence or genital HIV shedding. Women were randomised to acyclovir 400mg BD or placebo and followed every three months for 12-30 months. Adherence was assessed by tablet counts. Random urine samples, collected between 6 and 24 months, were tested for acyclovir. At 12, 24 and 30 month visits, 56%, 52% and 54% of women on treatment had adherence >or=90%, respectively. Factors independently associated with good adherence (taking >or=90% of tablets in the preceding 3-months) included older age, understanding trial concepts at enrolment, living >2 years in the screening site, receiving an unannounced tablet check visit, using oral contraception at screening, living in the same site and house as the previous visit, accessing VCT during the trial, recent malaria and not having a positive pregnancy test. Overall, 55% of urine samples from women randomised to acyclovir had detectable acyclovir. Additional, tailored adherence strategies may be needed for younger, more mobile women and those who have not used oral contraception, which may sensitise them to daily tablet-taking. Use of biomarkers may alert investigators to adherence problems"
"709. Watson-Jones, D., Baisley, K., Weiss, H.A., Tanton, C., Changalucha, J., Everett, D., Chirwa, T., Ross, D., Clayton, T., Hayes, R. (2009) Risk factors for HIV incidence in women participating in a HSV suppressive treatment trial in Tanzania. AIDS 23 (3), 415-422.",Risk factors for HIV incidence in women participating in a HSV suppressive treatment trial in Tanzania,HIV,AIDS,2009,23,3,415,422,10,,,,,,,,,"OBJECTIVES: A randomized, double-blind, placebo-controlled trial (RCT) of herpes simplex virus type 2 suppressive therapy with acyclovir 400 mg twice daily conducted among women in northwestern Tanzania reported a similar rate of HIV acquisition in both trial arms (Current Controlled Trials number ISRCTN35385041). Risk factors for HIV incidence were examined in the context of 3-monthly follow-up visits offering both voluntary counselling and testing and care for sexually transmitted infections.                                                                                         METHODS: Risk factors for HIV acquisition were analysed using Cox regression.                                                                                                                                                                                              RESULTS: Overall, 821 herpes simplex virus type 2 seropositive, HIV seronegative women were randomized; 400 randomized to acyclovir and 421 to placebo; 659 (80.3%) completed follow-up. HIV incidence was 4.27 per 100 person-years. There was no overall impact of acyclovir on HIV incidence [hazard ratio = 1.01; 95% confidence interval (CI) 0.61-1.66]. HIV acquisition was independently associated with younger age at enrolment (age 16-19 vs. 30-35: hazard ratio = 4.02; 95% CI 1.67-9.68), alcohol consumption at enrolment (> or =30 drinks/week vs. none: hazard ratio = 4.39, 95% CI 1.70-11.33), having paid sex within the previous 3 months (hazard ratio = 1.82, 95% CI 1.09-3.05), recent infection with gonorrhoea (hazard ratio = 3.62, 95% CI 1.62-8.08) and injections in the previous 3 months (hazard ratio = 3.45, 95% CI 1.62-7.34). There was some evidence of an association between HIV incidence and living in the recruitment community for less than 2 years (hazard ratio = 1.75, 95% CI 0.98-3.10) and exposure to hormonal contraception (hazard ratio = 1.60, 95% CI 0.93-2.76).     CONCLUSION: A high incidence of HIV was observed in this trial cohort, especially in young women. Interventions are needed to address the risk associated with alcohol use and to sustain control of other sexually transmitted infections."
"710. Weetjens, B.J., Mgode, G.F., Machang’u, R.S., Kazwala, R., Mfinanga, G., Lwilla, F., Cox, C., Jubitama, M., Kanyhaga, H., Mtandu, R., Kahwa, A., Mwessongo, J., Makingi, G., Mfaume, S., Van Steenberge, J., Beyene, W., Billet, M., Verhagen, R. (2009) African pouched rats for the detection of pulmonary tuberculosis in sputum samples. International Journal of Tuberculosis and Lung Disease 2009, 13:737–743.", African pouched rats for the detection of pulmonary tuberculosis in sputum samples, tuberculosis, International Journal of Tuberculosis and Lung Disease,2009,13,,737,743,18,,,,,,,,,"Resource-limited settings in sub-Saharan African countries. To utilise African giant pouched rats (Cricetomys gambianus) for the diagnosis of tuberculosis (TB) in human sputum. A specially designed cage with 10 sniffing holes and cassette-carrier was used. The sputum samples were put in the sample cassette, containing 10 samples in line, placed under matching sniffing holes. Rats were trained to sniff each consecutive sample, and indicate TB positives by fixing their nose for 5 seconds at the sniffing hole. This behaviour was maintained by food reinforcement upon correct indications. A total of 3416 samples were used. Of the 20 trained rats, 18 were able to discriminate positive from negative sputum samples, with average daily sensitivities ranging from 72% to 100%, and average daily false-positives ranging from 0.7% to 8.1%. The use of multiple rats significantly increased sensitivity and negative predictive value. Utilising trained sniffer rats for TB detection is a potentially faster screening method and is at least as sensitive as smear microscopy. This method could therefore be suitable for active case finding, especially where large numbers of samples are to be analysed in resource-limited settings, to complement existing diagnostic techniques."
"711. Williams, G. S., Mweya, C., Stewart, L., Mtove, G., Reyburn, H., Cook, J., Corran, P.H., Riley, E.M. & Drakeley, C.J. (2009) Immunophoretic rapid diagnostic tests as a source of immunoglobulins for estimating malaria sero-prevalence and transmission intensity. Malaria Journal 8, 168.",Immunophoretic rapid diagnostic tests as a source of immunoglobulins for estimating malaria sero-prevalence and transmission intensity, malaria , Malaria Journal,2009,8,,168,,9,,,,,,,,,"Sero-epidemiological methods are being developed as a tool for rapid assessment of malaria transmission intensity. Simple blood collection methods for use in field settings will make this more feasible. This paper describes validation of such a method, by analysing immunoglobulins from blood retained within immunophoretic rapid diagnostic tests (RDTs) for Plasmodium falciparum. RDTs are now widely used for the diagnosis of malaria and estimation of parasite rates, and this method represents a further use for these devices in malaria control. Immunoglobulins eluted from RDTs, designed to detect parasite histidine rich protein-2 (HRP-2), were analysed by indirect ELISA for IgG recognizing the P. falciparum blood stage antigens merozoite surface protein-1(19) (MSP-1(19)) and apical membrane antigen-1 (AMA-1). Optimal storage conditions for RDTs were evaluated by comparing antibody responses from RDTs stored in dry or humid conditions at 4 degrees C or at ambient temperature (with or without air-conditioning) for 7, 31 or 70 days. Antibody levels estimated using 3,700 RDT samples from attendees at health facilities in North-eastern Tanzania were compared with contemporaneously collected filter paper blood spots (FPBS) and used to estimate seroconversion rates. Storage of RDTs at 4 degrees C was optimal for immunoglobulin recovery but short-term storage at ambient temperatures did not substantially affect anti-malarial IgG levels. Results from RDTs were comparable with those from FPBSs, for both antigens. RDT-generated titres tended to be slightly higher than those generated from FPBSs, possibly due to greater recovery of immunoglobulins from RDTs compared to filter paper. Importantly, however, RDT-based seroconversion rates, and hence serological estimates of malaria transmission intensity, agreed closely with those from FPBSs. RDTs represent a practical option for collecting blood for sero-epidemiological surveys, with potential cost and logistical advantages over filter paper and other blood collection methods. RDT-based seroepidemiology can be incorporated into routine monitoring of malaria endemicity, providing information to supplement parasite prevalence rates and generating rapid, robust assessment of malaria transmission intensity at minimal extra cost."
"712. Wringe, A., Roura, M., Urassa, M., Busza, J., Athanas, V., Zaba, B. (2009) Doubts, denial and divine intervention: understanding delayed attendance and poor retention rates at a HIV treatment programme in rural Tanzania. AIDS Care 21(5):632-7. doi: 10.1080/09540120802385629."," Doubts, denial and divine intervention: understanding delayed attendance and poor retention rates at a HIV treatment programme in rural Tanzania",HIV , AIDS Care,2009,21,5,632,637,6,10.1080/09540120802385629,,,,,,,,"Irregular or delayed attendance at HIV treatment clinics among HIV-positive individuals can have negative implications for clinical outcomes and may ultimately undermine the effectiveness of national treatment programmes. This study explores factors influencing attendance at HIV clinic appointments among patients in a rural ward in north-west Tanzania. Forty-two in-depth interviews (IDI) and four focus group discussions were conducted with HIV-infected persons who had been referred to a nearby antiretroviral therapy (ART) clinic, and IDI were undertaken with 11 healthcare workers involved in diagnosis, referral and care of HIV-positive patients. The Health Belief Model was applied to explore the role of health-related beliefs and the perceived barriers and benefits associated with regular clinic attendance. Perceived susceptibility to HIV-related illnesses emerged as an important factor influencing clinic attendance, and was often manifest through expressions of acceptance or denial of HIV status and knowledge of HIV disease progression. Denial of HIV status was often associated with using alternative healers, and could occur prior to, during, or after starting ART. Perceptions of illness severity also influenced HIV clinic attendance, and often evolved in relation to changes in physical symptoms. Barriers to clinic attendance frequently included health systems factors, while physical and social benefits encouraged regular clinic attendance. Self-confidence in being able to sustain clinic attendance was often determined by patients' expectations or experiences of family support. These findings suggest that multi-faceted interventions are required to promote regular HIV clinic attendance, including on-going education, counselling and support in both clinic and community settings. These interventions also need to recognise the evolving needs of patients that accompany changes in physical health, and should address local beliefs around HIV aetiology. Decentralisation of HIV services to rural communities should be considered as a priority to redress the balance between perceived barriers to, and benefits of accessing HIV treatment programmes."
"713. Zaba, B., Isingo, R., Wringe, A., Marston, M., Slaymaker, E., Urassa, M. (2009) Influence of timing of sexual debut and first marriage on sexual behaviour in later life: findings from four survey rounds in the Kisesa cohort in northern Tanzania. Sexually Transmitted Infection 85 Suppl 1:i20-6. doi: 10.1136/sti.2008.033704.", Influence of timing of sexual debut and first marriage on sexual behaviour in later life: findings from four survey rounds in the Kisesa cohort in northern Tanzania, sexual behaviour, Sexually Transmitted Infection,2009,85,suppl 1,20,6,6,10.1136/sti.2008.033704,,,,,,,,"Objectives: To evaluate quality of sexual debut and first marriage data, measure trends and study the association of risky sexual behaviour in youth with adult risk behaviour.             Methods: Reports on age at first sex (AFS) and age at first marriage (AFM) from the Kisesa cohort study, 1994–2004, were evaluated for consistency and used to describe trends in median age-at-event and time spent single but sexually active in different birth cohorts. The association of these variables with marital stability and numbers of partners at later ages was explored using statistical regression techniques.                                                                                                                                                                                                                                                   Results: AFS and AFM were inconsistently reported by 32% and 33% of respondents, respectively, but there was no general tendency to report lower or higher ages at a later report date. In 10-year birth cohorts born between 1950–9 and 1980–9, male median AFS declined from 18.1 to 17.0 years and female median AFM rose from 16.2 to 16.6 years. Young people of both sexes currently spend longer sexually active but unmarried than previously. Early marriage is statistically associated with remarriage and polygamy; longer time between sexual debut and marriage is associated with higher numbers of partners at later stages of life.                                                                                                                                                                         Conclusion: Inconsistent reporting of age-at-event introduces noise but does not bias estimates of population level indicators. Lengthening time spent single and sexually active suggests that men and women entering first marriage will have been exposed to increased numbers of non-marital partners. Successful youth interventions may also influence adult behavior."
"714. Anders, K., Marchant, T., Chambo, P., Mapunda, P., Reyburn, H. (2008) Timing of intermittent preventive treatment for malaria during pregnancy and the implications of current policy on early uptake in north-east Tanzania. Malaria Journal 2008 May 9;7:79. doi: 10.1186/1475-2875-7-79. ",Timing of intermittent preventive treatment for malaria during pregnancy and the implications of current policy on early uptake in north-east Tanzania, malaria,Malaria Journal 2008 May 9,2008,7,,79,,5,10.1186/1475-2875-7-79,,,,,,,,"BACKGROUND: Intermittent preventive treatment (IPTp) is efficacious in reducing the adverse outcomes associated with pregnancy-associated malaria, however uptake of the recommended two doses is low in Tanzania, and little is known of the timepoint during pregnancy at which it is delivered. This study investigated the timing of delivery of IPTp to pregnant women attending antenatal clinics (ANC), and the potential determinants of timely uptake.                                                                                                                                                    METHODS: Structured interviews were conducted with staff and pregnant women at antenatal clinics in northeast Tanzania, and antenatal consultations were observed. Facility-based and individual factors were analysed for any correlation with timing of IPTp uptake.                                                                                                                                                                                       RESULTS: Almost half the women interviewed first attended ANC during or before the fourth month of gestation, however 86% of these early attendees did not receive IPTp on their first visit. The timing of IPTp delivery complied closely with the national guidelines which stipulate giving the first dose at 20-24 weeks gestation. Uptake of at least one dose of IPTp among women who had reached this gestation age was 67%, although this varied considerably between clinics. At one facility, IPTp was not delivered because SP was out of stock.         CONCLUSION: Early uptake of IPTp was found to be hampered by factors external to health worker performance or women's individual preferences. These include insufficient drug stocks and an apparent lack of information to health workers on the reasoning for continued use of SP for IPTp when it has been replaced as a first-line treatment. In addition, an unexpectedly high proportion of women attend antenatal clinics before 20 weeks of pregnancy. While current policy denies the use of IPTp at this time, there is emerging, but incomplete, evidence that malaria in early pregnancy may contribute considerably to the burden of pregnancy-related malaria. Current policy may thus result in a missed opportunity for maximising the benefit of this intervention, and efforts to encourage earlier attendance at ANC alone are unlikely to improve uptake of IPTp. More evidence is needed to weigh the benefits of early IPTp use against theoretical risks of antifolate drugs in early pregnancy."
"715.  Armstrong Schellenberg, J.R., Mrisho, M., Manzi, F., Shirima, K., Mbuya, C., Mushi, A.K., Ketende, S.C., Alonso, P.L., Mshinda, H., Tanner, M., Schellenberg, D.(2008) Health and survival of young children in southern Tanzania. BMC Public Health 8:194.", Health and survival of young children in southern Tanzania,Health and survival, BMC Public Health,2008,8,,194,,10,,,,,,,,,"With a view to developing health systems strategies to improve reach to high-risk groups, we present information on health and survival from household and health facility perspectives in five districts of southern Tanzania. We documented availability of health workers, vaccines, drugs, supplies and services essential for child health through a survey of all health facilities in the area. We did a representative cluster sample survey of 21,600 households using a modular questionnaire including household assets, birth histories, and antenatal care in currently pregnant women. In a subsample of households we asked about health of all children under two years, including breastfeeding, mosquito net use, vaccination, vitamin A, and care-seeking for recent illness, and measured haemoglobin and malaria parasitaemia. In the health facility survey, a prescriber or nurse was present on the day of the survey in about 40% of 114 dispensaries. Less than half of health facilities had all seven 'essential oral treatments', and water was available in only 22%. In the household survey, antenatal attendance (88%) and DPT-HepB3 vaccine coverage in children (81%) were high. Neonatal and infant mortality were 43.2 and 76.4 per 1000 live births respectively. Infant mortality was 40% higher for teenage mothers than older women (RR 1.4, 95% confidence interval (CI) 1.1 - 1.7), and 20% higher for mothers with no formal education than those who had been to school (RR 1.2, CI 1.0 - 1.4). The benefits of education on survival were apparently restricted to post-neonatal infants. There was no evidence of inequality in infant mortality by socio-economic status. Vaccine coverage, net use, anaemia and parasitaemia were inequitable: the least poor had a consistent advantage over children from the poorest families. Infant mortality was higher in families living over 5 km from their nearest health facility compared to those living closer (RR 1.25, CI 1.0 - 1.5): 75% of households live within this distance. Relatively short distances to health facilities, high antenatal and vaccine coverage show that peripheral health facilities have huge potential to make a difference to health and survival at household level in rural Tanzania, even with current human resources. 

"
"716. Babalola, O.E., Maegga, B., Katenga, S., Ogbuagu, F.K., Umeh, R.E., Seketeli, E., Braide, E. (2008) APOC impact assessment studies: baseline ophthalmological findings in Morogoro, Tanzania. African Journal of Medicine and Medical Sciences 37(4):327-32."," APOC impact assessment studies: baseline ophthalmological findings in Morogoro, Tanzania",,African Journal of Medicine and Medical Sciences,2008,37,4,327,332,7,,,,,,,,,"The goal of the African Programme for Onchocerciasis Control (APOC) is to eliminate Onchocerciasis as a disease of public Health significance and an important constraint to socio-economic development in the 19 none OCP (Onchocerciasis Control Project) countries covered through Community-Directed Treatment with Ivermectin, CDTI. In 1998, impact assessment studies were carried out in Morogoro, Tanzania during which baseline ophthalmological parameters were established. The hypothesis being tested is that CDTI will prevent or delay progression of onchocercal eye lesions and blindness. A total of 425 subjects aged 10 years or more from 14 villages within Bwakira district ofMorogoro region in Tanzania were examined for Snellen visual acuity, ocular microfilaria, lens opacities, uveitis and posterior segment disease especially chorioretinitis and optic nerve disease. Motion Sensitivity Screening Test (MSST) was carried out as well. Microfilaria was present in the anterior chamber of nearly half (49.2%) of all subjects examined. Prevalence of blindness was extremely high at 15.2%. Onchocercal lesions were responsible for blindness in 41.5% of these, followed by cataracts (27.7%), glaucoma (10.8%) and trachoma (6.2%). The main pathway to onchocercal blindness in this population was anterior uveitis with or without secondary cataracts. There is an urgent need to get CDTI underway and institute other horizontal primary eye care measures, especially cataract backlog reduction, in order to reduce the excessive burden of avoidable blindness in this community."
